Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,6252.49,75029.88,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Amazon CloudFront,Amazon CloudFront,0,3735.2,44822.40,USD,"Data transfer out to internet (35 TB per month), Data transfer out to origin (35 TB per month), Number of requests (HTTPS) (100 million per month)"
My Estimate,US East (N. Virginia),S3,S3 Standard,0,521,6252.00,USD,S3 Standard storage (10 TB per month)
My Estimate,US East (N. Virginia),ELB,Application Load Balancer,0,600.43,7205.16,USD,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),ELB,Network Load Balancer,0,454.43,5453.16,USD,"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (100 GB per hour), Average number of new TCP connections (1000 per second), Average TCP connection duration (15 seconds)"
My Estimate,US East (N. Virginia),"2x Web Sersers, 2x App Servers",Amazon EC2 ,0,128.48,1541.76,USD,Tenancy (Shared Instances)
My Estimate,US East (N. Virginia),VPC with NAT Gateway,Network Address Translation (NAT) Gateway,0,37.35,448.20,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),Amazon RDS,Amazon RDS for PostgreSQL,0,775.5999999999999,9307.20,USD,"Storage volume (General Purpose SSD (gp2)), Storage amount (30 GB), Nodes (1), Instance Type (db.m1.xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (OnDemand), Additional backup storage (100 GB), Total Size of Backup Processed for Export (GB) ( per month)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
